"","Score","Age","PTS","AST","TRB","MP","FT","FG","Rk","X3P","X2P","Role","Salary","G","TOV","mean_views"
"1321",16.2,26,15.9,2,12.9,31.8,4.1,5.9,187,0,5.9,"Front",23491573,81,1.6,1039.92602739726
"1322",3.5,30,22.9,10.7,11.1,36,4.1,8.6,506,1.6,7,"Back",35665000,73,4.5,4348.84109589041
"1323",98.5,30,2.5,0.8,2.2,12.9,0.5,0.8,16,0.4,0.5,"Front",20421546,25,0.6,619.120547945205
"1324",65.5,24,6.7,3.3,2.7,24.2,1.1,2.3,22,1,1.3,"Back",1349383,81,0.8,642.191780821918
"1325",110,28,4,0.5,1.5,10.8,0.4,1.4,69,0.9,0.5,"Back",838464,42,0.4,146.016438356164
"1326",143,32,3.9,1,3.6,11.1,0.6,1.5,343,0.3,1.2,"Front",2098196,36,0.6,363.256830601093
"1327",92.2,24,6.1,1,3.1,16.8,0.6,2.6,131,0.4,2.1,"Front",2760094,47,0.5,491.655737704918
"1328",124.2,24,3.3,0.4,1.5,10.6,0.4,1.2,385,0.5,0.7,"Front",1378242,56,0.3,369.350684931507
"1329",46.2,29,15,1.3,8.1,27.2,1.8,6.3,243,0.7,5.6,"Front",21666667,74,1.5,1456.09315068493
"1330",57.2,28,7.9,0.9,1.6,18.9,0.6,2.9,123,1.5,1.3,"Back",2795000,74,0.8,2745.9397260274
"1331",113.8,27,9.4,2.6,1.8,17.6,2.1,3,373,1.4,1.7,"Back",1942422,56,1.2,473.227397260274
"1332",67.5,20,10.8,3.3,2.8,26.5,1.9,4.2,186,0.6,3.5,"Back",3375360,82,1.7,635.739726027397
"1333",120.2,22,4.4,0.9,1.8,13.4,0.3,1.7,352,0.7,1,"Back",77250,20,0.3,144.167123287671
"1334",122.2,25,6.5,1.9,3,19.6,1.1,2.5,214,0.3,2.2,"Back",1325531,73,0.8,141.643835616438
"1335",87,33,4,1.8,1.8,15.1,0.6,1.7,307,0,1.7,"Back",8307692,64,0.6,2751.53278688525
"1336",127,28,7.5,3.2,1.8,21.9,1,2.9,320,0.8,2.1,"Back",2512601,57,1.2,201.325136612022
"1338",157,22,3,0.5,2,8,0.4,1.2,292,0.3,0.9,"Front",1544951,22,0.5,246.58904109589
"1339",160.5,27,4.3,1.3,3,20,0.5,1.5,228,0.7,0.8,"Front",12763467,44,0.7,112.501369863014
"1340",43.5,25,16.8,4.6,2.4,28.1,4.2,5.4,140,1.8,3.6,"Back",1656092,68,2.2,617.134246575342
"1341",139.2,22,6.9,1.3,3.3,18.3,0.8,2.6,266,0.9,1.7,"Front",3940401,66,1.2,274.868493150685
"1342",1.2,30,27.3,5.2,5.3,33.8,3.8,9.2,124,5.1,4,"Back",37457154,69,2.8,15609.1178082192
"1343",97.2,23,6.4,1.4,3.2,17.8,0.5,2.5,76,0.9,1.6,"Back",1378242,58,0.8,540.378082191781
"1344",41.5,25,13.9,1.6,9.5,33.4,1.8,6,4,0,6,"Front",24157304,80,1.7,1869.78082191781
"1345",100.5,21,3.2,0.9,0.9,10.5,0.3,1.1,370,0.7,0.4,"Back",1487694,42,0.5,612.449315068493
"1349",74.8,33,10.8,1.2,6.5,24.1,1.9,4.3,184,0.2,4.2,"Front",14000000,70,1,336.641095890411
"1350",53.8,20,6.9,1,1.9,26.1,0.5,2.5,166,1.4,1.1,"Back",2118840,74,0.6,578.950684931507
"1351",104.8,27,15.1,1.7,3.5,26.5,1.6,5.4,430,2.7,2.8,"Back",10500000,81,1.1,377.586301369863
"1352",49,24,9,2.9,3.9,22.7,0.9,3.3,431,1.5,1.8,"Back",3050389,79,0.9,2430.52876712329
"1353",143.5,34,3.8,0.5,2.5,12.2,0.3,1.4,441,0.7,0.7,"Front",5250000,50,0.5,318.767123287671
"1354",61,30,12.6,2.5,6.5,30.7,1.1,5.5,525,0.6,4.8,"Front",13764045,81,1.5,325.460273972603
"1355",127.2,23,4.5,1.2,2,11.7,1.1,1.4,403,0.7,0.7,"Back",77250,18,1,165.038356164384
"1356",72.8,21,10.5,1.3,6.3,20.8,1.5,4.3,79,0.5,3.8,"Front",1378242,72,0.8,381.630136986301
"1358",69.2,21,5,0.7,3.2,15.2,0.9,1.7,324,0.8,0.9,"Front",2799720,64,0.5,1337.25205479452
"1359",124.5,28,5.3,4.2,2.8,19,0.7,2,173,0.6,1.3,"Back",1832107,59,1.3,143.693150684932
"1360",50,26,18.1,2.4,3.4,31.6,3.6,6,205,2.5,3.5,"Back",17325000,65,1.6,744.046575342466
"1361",73.8,23,4.6,0.5,1.9,13.4,0.6,1.6,316,0.7,0.9,"Back",1880268,50,0.4,1.14285714285714
"1362",48.8,26,20,2.8,7.9,34.7,3.2,7.5,212,1.9,5.5,"Front",14800000,82,1.8,849.06301369863
"1363",105.2,27,8.9,5,3.5,27.1,1.6,3.2,438,0.8,2.4,"Back",3129187,80,1.5,194.517808219178
"1364",111.8,21,5.7,0.3,5,12,0.3,2.7,64,0,2.7,"Front",1679520,3,1,272.356164383562
"1365",48.5,36,9.5,3.7,1.5,17.9,1.6,3.8,395,0.2,3.6,"Back",5000000,56,1.3,2899.98633879781
"1366",63.2,27,6,0.9,2.1,17.6,0.5,2.2,458,1.1,1.1,"Back",10607143,74,0.3,234.882191780822
"1367",85.8,28,5.7,1,3.5,20,0.7,2.1,118,0.8,1.3,"Front",2000000,75,0.6,128.202739726027
"1368",48,20,19.1,8.1,3.7,30.9,4.2,6.5,526,1.9,4.6,"Back",5363280,81,3.8,3028.77534246575
"1369",144.8,25,5.3,1,3.1,20.4,0.5,1.8,193,1.1,0.7,"Front",1512601,35,0.5,72.8684931506849
"1371",61.8,33,12.5,3.7,5.4,34,1.9,4.3,23,2.1,2.2,"Front",15000000,69,1.5,2128.95068493151
"1372",109.8,26,10.9,2.7,1.7,19.4,1.8,4.1,81,1,3.1,"Back",1795015,58,0.8,971.013698630137
"1373",134,23,8.5,1.4,3.8,17.5,1.3,3.2,318,0.8,2.4,"Front",3364249,64,1.1,424.816438356164
"1374",56.2,27,10.9,2,10.2,27.9,1.6,4.7,477,0,4.7,"Front",17469565,43,1.4,6161.43561643836
"1376",119,27,6.2,0.5,1.4,14.9,0.4,2.2,125,1.5,0.8,"Back",3258539,51,0.5,108.169863013699
"1377",155.5,24,5.3,0.5,2.8,14.9,0.4,2.1,518,0.7,1.4,"Front",77250,21,0.4,122.986338797814
"1380",103.8,26,10.9,2.9,3,26.8,1.7,3.8,267,1.6,2.2,"Back",19245370,57,1.4,406.706849315068
"1382",61.5,29,10.2,2.4,2.9,20.3,1.7,3.7,160,1.1,2.6,"Back",12400000,69,1.7,817.592896174863
"1384",110,36,3.1,0.7,5.6,15.9,0.9,1.1,100,0,1.1,"Front",13585000,55,0.8,1791.62465753425
"1385",99,22,6.9,4.8,2,22.9,0.9,2.7,275,0.6,2.1,"Back",2444052,68,0.7,592.021917808219
"1386",74.2,38,2.5,0.2,2.7,7.4,0.3,1.1,217,0,1.1,"Front",2393887,10,0.3,696.128767123288
"1387",4.5,26,18.8,5.2,5.6,31.9,2.9,6.9,389,2.1,4.9,"Back",21000000,36,2.3,3284.6602739726
"1388",41,42,7.4,1.1,2.6,17.5,0.6,2.6,92,1.6,1,"Front",2393887,76,0.6,4985.24383561644
"1390",80.5,22,1.9,0.8,0.9,5.9,0.5,0.6,29,0.1,0.5,"Back",1544951,16,0.9,11.9102040816327
"1391",110.2,31,10.3,1.4,2,24.5,0.7,3.5,154,2.6,0.9,"Back",8653076,53,0.8,339.61095890411
"1392",125,24,6.9,1.5,2.4,19.2,0.9,2.6,442,0.7,1.9,"Back",1544951,75,1.1,7.53257790368272
"1393",64.8,19,10.3,1.8,7,25.2,2,4.1,93,0.1,4,"Front",4446840,44,1.5,165.517808219178
"1395",159,31,3.4,0.6,1.9,14.1,0.3,1.2,268,0.7,0.5,"Front",6134000,38,0.5,5.0521978021978
"1396",60.2,32,12.2,2.3,2.5,30.3,1.9,4,330,2.2,1.9,"Back",19360228,69,1.3,258.830136986301
"1397",70.2,28,11.5,2.9,4.6,27.7,1.3,4.3,34,1.6,2.7,"Back",11830358,43,1.5,277.498630136986
"1398",73.2,25,11.9,2.4,8.4,27.3,1.7,5.1,97,0,5.1,"Front",4696874,81,1,460.087671232877
"1399",72.2,24,7.3,1,5.4,14,1.7,2.6,221,0.3,2.4,"Front",1496500,58,1,369.997260273973
"1400",70.5,31,6,1.6,4.2,23.1,0.4,2.2,101,1.2,1.1,"Front",12800562,51,0.9,470.720547945205
"1402",113.5,25,5.9,1.9,1.5,15,0.8,2.2,167,0.8,1.4,"Back",3000000,71,0.6,293.249315068493
"1403",111,24,2.6,0.5,2.1,11.6,0.5,1,504,0.1,0.9,"Back",77250,15,0.4,482.778082191781
"1404",86.8,21,6.6,0.9,4.2,17.6,1.2,2.5,109,0.5,1.9,"Front",3628920,77,1,470.320547945205
"1405",36.5,23,23.7,4.5,4.7,34.5,5,8.4,294,1.9,6.5,"Back",19500000,63,3.4,1415.26849315068
"1407",69.8,34,3.9,1.3,3.9,12.9,1.4,1.3,393,0,1.3,"Front",2393887,68,0.8,1183.57650273224
"1408",120.8,19,6.7,1.7,2.2,18.5,1,2.3,457,1,1.3,"Back",2615160,6,1,469.912328767123
